Ciudad 1,Costo ciudad 1,Coordenada X Ciudad 1,Coordenada Y Ciudad 1,Ciudad 2,Costo ciudad 2,Coordenada X Ciudad 2,Coordenada Y Ciudad 2,Costo del enlace
Wenatchee,62,942,852,Spokane,80,1340,884,172
Eugene,138,415,1465,Klamath Falls,136,520,1873,173
Lexington,84,6123,2784,Knoxville,113,6293,3195,173
Albuquerque,105,2666,3670,Tucumcari,67,3135,3662,174
Kansas City,61,4550,2806,Springfield MO,120,4781,3156,174
Sault Ste. Marie,123,5829,1077,Escanaba,123,5458,1279,174
Seattle,64,682,768,Portland,141,545,1179,174
Wichita,54,4139,3126,Tulsa,121,4374,3420,174
Eau Claire,101,4875,1552,Madison,59,5226,1880,175
Ellensburg,117,896,939,Spokane,80,1340,884,175
Grand Rapids,138,5773,1811,Chicago,56,5512,2095,175
Marathon,125,3196,4667,Del Rio,138,3597,4844,175
Norfolk,66,7429,2742,Raleigh,69,7126,3047,175
Winnemucca,67,1074,2264,Wells,66,1498,2291,175
Bonners Ferry,92,1517,683,Wet Glacier,124,1884,885,176
Clovis,103,3226,3817,Roswell,118,3000,4011,176
Dubuque,55,5037,2025,Chicago,56,5512,2095,176
Roswell,118,3000,4011,Lubbock,113,3439,4012,176
Salina UT,125,4059,2830,Kansas City,61,4550,2806,176
Sioux Falls,143,4165,1889,Albert Lea,67,4640,1828,176
Cairo,66,5433,3109,Nashville,137,5837,3228,177
Charleston WV,66,6552,2638,Lexington,84,6123,2784,177
Chicago,56,5512,2095,Davenport,72,5100,2204,177
Portland,141,7860,1131,HullsCove,144,8091,890,177
Raton,117,3036,3313,Tucumcari,67,3135,3662,177
Columbus,137,6277,2348,Indianapolis,82,5808,2474,178
Knoxville,113,6293,3195,Nashville,137,5837,3228,178
Laredo TX,78,3850,5231,Del Rio,138,3597,4844,178
Minneapolis,77,4662,1555,Decorah,98,4877,1878,178
Needles,133,1382,3603,Williams,105,1706,3591,178
Grants Pass,146,309,1790,Redding,75,372,2197,179
Guanajuato,80,1023,900,Salamanca,90,1040,915,179
Guaymas,80,426,367,Hermosillo,80,411,317,179
